STG,TSDB
Atlanta United,Atlanta United
Austin,Austin FC
CF Montréal,CF Montréal
Charlotte,Charlotte
Chicago Fire,Chicago Fire
Cincinnati,FC Cincinnati
Colorado Rapids,Colorado Rapids
Columbus Crew,Columbus Crew
Dallas,DC United
DC United,FC Dallas
Houston Dynamo,Houston Dynamo
Inter Miami CF,Inter Miami
LA Galaxy,Los Angeles Galaxy
Los Angeles FC,Los Angeles FC
Minnesota United,Minnesota
Nashville SC,Nashville SC
New England,New England Revolution
New York City,New York City FC
New York RB,New York Red Bulls
Orlando City SC,Orlando City
Philadelphia Union,Philadelphia Union
Portland Timbers,Portland Timbers
Real Salt Lake,Real Salt Lake
Seattle Sounders FC,Seattle Sounders
SJ Earthquakes,San Jose Earthquakes
Sporting KC,Sporting Kansas City
Toronto FC,Toronto FC
Vancouver Whitecaps,Vancouver Whitecaps
Albania,Albania
Andorra,Andorra
Armenia,Armenia
Austria,Austria
Azerbaijan,Azerbaijan
Belarus,Belarus
Belgium,Belgium
Bosnia & Herzegovina,Bosnia-Herzegovina
Bulgaria,Bulgaria
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
England,England
Estonia,Estonia
Faroe Islands,Faroe Islands
Finland,Finland
France,France
FYR Macedonia,North Macedonia
Georgia,Georgia
Germany,Germany
Gibraltar,Gibraltar
Greece,Greece
Hungary,Hungary
Iceland,Iceland
Ireland,Ireland
Israel,Israel
Italy,Italy
Kazakhstan,Kazakhstan
Kosovo,Kosovo
Latvia,Latvia
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Malta,Malta
Moldova,Moldova
Montenegro,Montenegro
Northern Ireland,N.Ireland
Netherlands,Netherlands
Norway,Norway
Poland,Poland
Portugal,Portugal
Romania,Romania
Russia,Russia
San Marino,San Marino
Scotland,Scotland
Serbia,Serbia
Slovakia,Slovakia
Slovenia,Slovenia
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Turkey,Turkey
Ukraine,Ukraine
Wales,Wales
Algeria,Algeria
Angola,Angola
Benin,Benin
Botswana,Botswana
Burkina Faso,Burkina Faso
Burundi,Burundi
Cameroon,Cameroon
Cape Verde,Cape Verde
Central Africa,Central African Republic
Comoros,Comoros
Congo,Congo
D.R. Congo,DR Congo
Egypt,Egypt
Equatorial Guinea,Equatorial Guinea
Eswatini,Eswatini
